Quantity,Brand,Part Number,Subcategory,Application,Engine,Description,Jobber,Public Price,Last Purchase,Last Sale,Category,Dealer,Type
,aFe Power,54-12382,Air Filter,Chevrolet Camaro V6 3.6L 10-11,3.6L,aFe MagnumFORCE Air Intake Stage-2 Pro 5R 10-11 Chevrolet Camaro V6 3.6L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-12492,Air Filter,Volkswagen New Beetle +12 2.5L,2.5L,aFe MagnumFORCE Intake Stage-2 PRO 5R VW 09-14 Jetta/Golf 12-14 Passat/Beetle 2.5L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-12822,Air Filter,Ford Mustang Ecoboost 2.3T +15,2.3T,aFe MagnumFORCE Stage-2 Pro 5R Cold Air Intake System 15-17 Ford Mustang EcoBoost 2.3L (t),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-12912-C,Air Filter,BMW M240i B58,3.0T,aFe Magnum FORCE Stage-2 Pro 5R Cold Air Intake System 16-17 BMW 340i (F30) L6-3.0L (t) B58,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-13015R,Air Filter,Ford Mustang GT V8 5.0 15-17,5.0L,aFe Magnum FORCE Stage-2 Pro 5R Cold Air Intake System 15-17 Ford Mustang GT V8-5.0L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-13023R,Air Filter,Jeep Grand Cherokee (WK2) V8-5.7L 11-21,5.7L,aFe Magnum FORCE Pro 5R Cold Air Intake System 11-19 Jeep Grand Cherokee (WK2) V8-5.7L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-13032R,Air Filter,POWER Magnum FORCE Stage-2 Pro 5R Cold Air Intake,3.0L,aFe POWER Magnum FORCE Stage-2 Pro 5R Cold Air Intake System 15-19 BMW M3/M4 3.0L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-13035R,Air Filter,Jeep Grand Cherokee V6 3.6L 16-22,3.6L,aFe Magnum FORCE Stage-2 PRO 5R CIA System 16-19 Jeep Grand Cherokee (WK2) - V6-3.6L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-13053R,Air Filter,BMW 325i 3 Series E9x L6 3.0L 06-11,3.0L,aFe POWER Magnum FORCE Stage-2 Pro 5R Cold Air Intake System 06-13 BMW 3 Series L6-3.0L Non Turbo,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-20442,Air Filter,P5R AIS P5R BMW 3-Series (E46) 99-06 L6-2.5L/2.8L/3.0L,3.0L,aFe MagnumFORCE Intakes Stage-2 P5R AIS P5R BMW 3-Series (E46) 99-06 L6-2.5L/2.8L/3.0L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-73114,Air Filter,Ford F-150 V8 5.0 15-20,5.0L,aFe Momentum GT Pro 5R Stage-2 Intake System 15-17 Ford F-150 V8 5.0L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-73120-B,Air Filter,Ford F-150 Raptor V6 3.5L 17-20,3.5TT,aFe Momentum XP Pro 5R Cold Air Intake System 17-18 Ford F-150 Raptor V6-3.5L (tt) EcoBoost,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-73202,Air Filter,Ford Mustang V6 3.7L 2015-2017,3.7L,aFe Momentum GT AIS Pro 5R Intake System 15-17 Ford Mustang V6-3.7L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-74210,Air Filter,Momentum GT Pro 5R Stage-2 Intake System 2016 Chevrolet Camaro SS V8-6.2L,6.2L,aFe Momentum GT Pro 5R Stage-2 Intake System 2016 Chevrolet Camaro SS V8-6.2L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-76207,Air Filter,Jeep Grand Cherokee 3.6L V6 11-14,3.6L,aFe Momentum GT Stage 2 PRO 5R Intake 11-14 Jeep Grand Cherokee 3.6L V6,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-76303,Air Filter,BMW 528i F10 15-15 2.0T,2.0T,aFe Momentum Pro 5R Intake System BMW 528i/ix (F10) 12-15 L4-2.0L (t) N20,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-76306,Air Filter,BMW 135/335i 06-13 N54,3.0TT,aFe Momentum Pro 5R Intake System 07-10 BMW 335i/is/xi (E90/E92/E93),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-76314,Air Filter,BMW 118i 1.6T N13 11-15,1.6T,aFe Momentum GT Pro 5R Cold Air Intake System 11-15 BMW 116i/118i (F20/21) L4-1.6L (t) N13,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-81012-C,Air Filter,BMW 3 Series E9x L6 3.0L 06-11,3.0L,aFe MagnumForce Stage 2 Si Intake System P5R 06-11 BMW 3 Series E9x L6 3.0L Non-Turbo,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-82082-1,Air Filter,BMW X3 35ix L6 3.0 11-16,N55 3.0T,aFe MagnumFORCE Intakes Stage-2 P5R Si 11-16 BMW X3 35ix L6-3.0L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-82202,Air Filter,BMW M135i/M235i/335i/435i/M2 F87 12-16,N55 3.0T,aFe Momentum Intake Stage-2 Si Pro 5R 14 BMW 435i (F32) L6-3.0 / 12-15 335i (F30) L6 3.0L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-82212,Air Filter,BMW 2/3/4-Series 12-18 L4-2.0L (t) N20,N20 2.0T,aFe MagnumFORCE Intake Stage-2 Si Pro 5R BMW 328i (F30) 2012-15 L4 2.0L Turbo N20,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,56-10004R,Air Filter,Infiniti Q50 +16,3.0TT,aFe Takeda Stage-2 Pro 5R Cold Air Intake System 16-19 Infinity Q50/Q60 V6-3.0L (tt),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,56-10005R,Air Filter,Kia Forte GT +18,1.6T,aFe Takeda Stage-2 AIS P5R 17-19 Hyundai Elantra Sport L4-1.6L (t),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,56-10009R,Air Filter,Mazda 3 2.5 14-18,2.5L,aFe Takeda Stage-2 Cold Air Intake System w/Pro 5R Filter 14-18 Mazda 3 I4-2.0L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,56-10020R,Air Filter,Mazda 3 2.0 14-18,2.0L,aFe Takeda Stage-2 Cold Air Intake System Pro 5R 14-18 Mazda 3 L4-2.0 - Black,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,56-70001R,Air Filter,Honda Fit L4 1.5 15-18,1.5L,aFe Takeda Momentum Pro 5R Cold Air Intake System 15-18 Honda Fit I4-1.5L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,56-70044R,Air Filter,Mazda 3 2.2L L4 19-21,2.5L,aFe Takeda Momentum Cold Air Intake System w/ Pro 5R Filter Mazda 3 19-21 L4-2.5L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,56-70048R,Air Filter,Ford Fiesta 1.6 14-21,1.6L,aFe Takeda Momentum Pro 5R Cold Air Intake System 14-19 Ford Fiesta L4-1.6L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,57-10005D,Air Filter,Track Series Carbon Fiber Pro Dry S AIS - 16-19 Chevrolet Camaro SS V8-6.2L,6.2L,aFe Track Series Carbon Fiber Pro Dry S AIS - 16-19 Chevrolet Camaro SS V8-6.2L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,58-10001R,Air Filter,12-19 Jeep Gand Cherokee (WK2) SRT-8/SRT V8 6.4L HEMI,6.4L,aFe Black Series Cold Air Intake 12-19 Jeep Gand Cherokee (WK2) SRT-8/SRT V8 6.4L HEMI,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,TA-3007B,Air Filter,Nissan GT-R +09,3.8TT,aFe Takeda Air Intake System Stage-2 PRO 5R 09-14 Nissan GT-R V6 3.8L (tt) - Black,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,TA-3016S,Air Filter,Nissan Infiniti 3.7,3.7L,aFe Takeda Intakes Stage-2 PDS AIS PDS Splash Shield: TA-3016P,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,TM-1025B-R,Air Filter,Honda Civic Type R L4 2.0T +17,2.0T,aFe Momentum GT Pro 5R Cold Air Intake System 2017 Honda Civic Type R L4-2.0L (t),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,TR-1007B,Air Filter,Honda Accord/Acura TL 08-11 V6-3.5L/3.7L,3.5L/3.7L,aFe Takeda Intakes Stage-2 PDS AIS PDS Honda Accord 08-11 / Acura TL 09-11 V6-3.5/L3.7L (blk),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,TR-5306B-R,Air Filter,Ford Focus ST 4L 2.0T 15-17,2.0T,aFe Takeda Stage-2 Pro 5R Cold Air Intake System 15-17 Ford Focus St L4-2.0L (t) EcoBoost,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Airaid,250-332,Air Filter,Chevrolet Camaro 16,3.7L,Airaid 2016 Chevrolet Camaro V6-3.6L F/I Intake System w/ Tube (Oiled / Red Media),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Airaid,860-399,Air Filter,"Ford Mustang GT500 5.4SC 14, GT350 V8 5.2 16-20",5.4SC/5.2L,Airaid 10-14 Ford Mustang Shelby 5.4L Supercharged Direct Replacement Filter - Oiled / Red Media,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Alta,AMPSUS100,Suspension,Mini R56/R57/R58/R59/R60 07-14,1.6T,Alta 02-06 Mini & 07+ R56 Mini V2 Rear Adjustable Control Arms (Set of 2),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,AMS,ALP.19.02.0001-1,Cooling,Mercedes Benz A45 AMG 14-18,2.0T,AMS Performance 14-18 Mercedes-Benz CLA 45 AMG 2.0T Alpha Auxiliary Heat Exchanger Upgrade,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,AMS,ALP.19.09.0001-2,Cooling,Mercedes Benz A45 AMG 14-18,2.0T,AMS Performance Mercedes-Benz M133 AMG Alpha Intercooler,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
